node_id_from	node_id_to	weight
1383689898	1413849083	0.000073
284161431	284161430	0.000084
159898545	1480957185	0.000099
791052714	1333731257	0.000100
1326489700	1326489699	0.000101
1326489700	1326489701	0.000101
1326489698	1326489697	0.000101
1326489701	1326489702	0.000101
1326489699	1326489698	0.000101
1326489697	1326489696	0.000101
1326489704	1326489705	0.000101
1326489703	1326489702	0.000101
1326489703	1326489704	0.000101
1262507064	1262507066	0.000113
301736401	301736400	0.000115
159800081	159800063	0.000116
301736602	301736603	0.000118
283926567	159950519	0.000121
140964497	140964448	0.000121
159799886	159800027	0.000122
159589921	159589909	0.000123
141903978	159800040	0.000125
301736766	301736765	0.000126
159950450	159950486	0.000131
1327777189	1327777190	0.000132
301736767	301736768	0.000132
1218510096	1218510098	0.000132
1425417340	301736764	0.000135
301736723	289854599	0.000136
159950425	159950436	0.000136
140964618	140964624	0.000137
140964577	140964614	0.000139
159898718	141903945	0.000139
1425431331	1425431332	0.000141
159950548	159950422	0.000141
298459648	1254904501	0.000144
159192869	159193808	0.000147
278023531	309862598	0.000148
159950548	159950519	0.000151
159544104	159544050	0.000151
1369008036	1369008035	0.000153
301736979	301736983	0.000154
96473991	96474020	0.000155
1208063958	159193926	0.000157
159709015	286526096	0.000157
791372018	791372019	0.000158
1253231910	302708855	0.000160
284959164	284959165	0.000161
160027372	160027468	0.000161
791052714	791052713	0.000162
284959166	284959165	0.000163
301737262	301737263	0.000163
159950431	159950525	0.000164
140964366	140964652	0.000165
159193926	1208063957	0.000165
159800027	159799998	0.000166
284959169	284959168	0.000166
1253231912	1253231909	0.000167
283924079	283924078	0.000168
301736396	301736397	0.000169
159494408	1272718704	0.000170
284160600	141903943	0.000170
289854602	289854601	0.000170
159950474	159950501	0.000170
284790340	284790342	0.000170
791052714	159544182	0.000170
284160601	159799969	0.000172
159870236	159870325	0.000173
159858699	159858664	0.000174
284790346	284790347	0.000174
140964518	140964484	0.000175
1425417350	1425417346	0.000175
140964459	140964578	0.000175
159950638	283926567	0.000175
301737265	301737264	0.000176
284161429	141900299	0.000176
160032953	1191220299	0.000176
159799969	159800056	0.000176
301736189	301736188	0.000176
726041377	214879134	0.000178
284959167	284959168	0.000178
726041372	214879134	0.000179
141903960	141903988	0.000180
159950501	159950601	0.000180
301736184	301736185	0.000181
288473805	159870388	0.000182
160038735	160038922	0.000182
141900300	141900325	0.000182
284959169	284959170	0.000183
291711148	291711147	0.000183
284790343	284790341	0.000184
159858672	159858773	0.000185
284959166	284959167	0.000185
140964377	140964386	0.000185
159858626	159858731	0.000186
140964578	140964497	0.000186
290470357	290470356	0.000186
140964368	140964485	0.000186
791052714	159544051	0.000187
159858946	159858626	0.000190
301736466	301736465	0.000190
140964518	140964600	0.000190
301736402	301736401	0.000191
301736467	301736468	0.000192
159950580	159950555	0.000192
284959142	284959143	0.000193
301736920	301736919	0.000193
159898363	159898198	0.000194
301736187	301736186	0.000195
159800066	141903971	0.000195
290783218	290783217	0.000196
99304075	99304197	0.000196
298728313	298728305	0.000196
301736189	301736190	0.000196
140964400	140964593	0.000196
159858840	159858704	0.000196
1254904499	298459651	0.000196
284790341	284790339	0.000197
1285445541	1285445539	0.000198
284790346	284790345	0.000198
159216420	284195107	0.000198
1425417423	1425417424	0.000199
284161430	1365848395	0.000199
301736608	301736607	0.000199
99304180	99304159	0.000199
1225662746	1225662748	0.000201
786989833	301736925	0.000202
159884661	159884626	0.000202
159858879	159858699	0.000203
284790343	284790349	0.000204
284790342	284790344	0.000204
1264822889	291711149	0.000205
1285445540	1285445542	0.000205
859468954	159914575	0.000205
875787625	875787628	0.000206
1253231907	298941983	0.000208
1425417752	1425417753	0.000208
159709246	286526096	0.000208
301736600	301736601	0.000209
1285445543	1285445542	0.000209
159544104	159544081	0.000209
140964433	140964448	0.000209
140964518	140964388	0.000210
99304153	99304075	0.000210
141898882	159799960	0.000210
159914886	170305368	0.000212
278023527	94513078	0.000212
299206219	299206216	0.000213
1272718697	1272718698	0.000213
160908756	160909290	0.000214
299206219	299206222	0.000214
159950577	159950495	0.000214
140964507	140964629	0.000214
284160779	284160778	0.000214
1285445540	1285445539	0.000215
